ANO;EQUIPAMENTO;TIPO;LOGRADOURO;VELOCIDADE_VIA;LATITUDE;LONGITUDE
2019;FS037;Fotossensor;AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069;60 Km/h;-8.06268;-34.89733
2020;5941;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. PRAZERES;60 km/h;-8.1309702;-34.916161200000005
2020;5942;Lombada;AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO - SENT. CENTRO;60 km/h;-8.1306469;-34.9158856
2020;5943;Lombada;AV. BOA VIAGEM - TERCEIRO JARDIM;60 km/h;-8.1078431;-34.8881609
2020;5944;Lombada;DEFRONTE A PCA. GOV. PAULO GUERRA, CABANGA - SENT. PINA;60 km/h;-8.0801208;-34.8921866
2020;5945;Lombada;APOS PONTE AGAMENON MAGALHAES, CABANGA - SENT. DERBY;60 km/h;-8.0808198;-34.891159
2020;5946;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2020;5947;Lombada;AV. BOA VIAGEM – EM FRENTE PARQUE DONA LINDU;60 km/h;-8.141066499999999;-34.9032775
2020;5948;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2020;5949;Lombada;AV. GOV. AGAMENON MAGALHAES – EM FRENTE REITORIA UPE - SENT. OLINDA;60 km/h;-8.0431659;-34.88586420000001
2020;5950;Lombada;AV. GOV. AGAMENON MAGALHAES – PROX. VIADUTO PRES. MEDICI - SENT. DERBY;60 km/h;-8.0415844;-34.8833148
2020;5951;Lombada;AV. GENERAL SAN MARTIN, N. 1864, SENT. AV. RECIFE ;40 km/h;-8.0674689;-34.9278105
